t,type,r,v,details
276892.5157,apocenter,7000826.616,7545.109013,{"ecc": 5.904051465347498e-05, "energy": -28467696.286962904}
279806.8134,pericenter,7000000.004,7545.999995,{"ecc": 5.904053484331231e-05, "energy": -28467696.2869707}
282722.4208,apocenter,7000826.614,7545.109015,{"ecc": 5.904051542074071e-05, "energy": -28467696.286978975}
285636.5062,pericenter,7000000.005,7545.999994,{"ecc": 5.9040536051348543e-05, "energy": -28467696.286987808}
288552.5163,apocenter,7000826.613,7545.109017,{"ecc": 5.904051768891193e-05, "energy": -28467696.28699506}
291465.5122,pericenter,7000000.005,7545.999995,{"ecc": 5.904053806660284e-05, "energy": -28467696.28700301}
294379.6054,apocenter,7000826.617,7545.109012,{"ecc": 5.904051985961031e-05, "energy": -28467696.287010167}
297296.662,pericenter,7000000.008,7545.999991,{"ecc": 5.90405381198831e-05, "energy": -28467696.28701741}
300212.7448,apocenter,7000826.608,7545.109022,{"ecc": 5.9040518982853414e-05, "energy": -28467696.287024837}
303124.0835,pericenter,7000000.005,7545.999995,{"ecc": 5.9040537291759394e-05, "energy": -28467696.287031736}
306040.8834,apocenter,7000826.611,7545.109018,{"ecc": 5.904052025262051e-05, "energy": -28467696.28703846}
308953.5938,pericenter,7000000.005,7545.999994,{"ecc": 5.904053799964793e-05, "energy": -28467696.28704521}
311867.0776,apocenter,7000826.617,7545.109012,{"ecc": 5.904052033466348e-05, "energy": -28467696.287052024}
314785.3412,pericenter,7000000.011,7545.999988,{"ecc": 5.90405368377932e-05, "energy": -28467696.287058536}
317698.5672,apocenter,7000826.613,7545.109016,{"ecc": 5.904051957149081e-05, "energy": -28467696.287065424}
320613.117,pericenter,7000000.007,7545.999992,{"ecc": 5.904053675740776e-05, "energy": -28467696.287072115}
323529.1125,apocenter,7000826.61,7545.10902,{"ecc": 5.9040517822254026e-05, "energy": -28467696.287080824}
326441.5572,pericenter,7000000.005,7545.999994,{"ecc": 5.904054322444769e-05, "energy": -28467696.287091874}
329358.0129,apocenter,7000826.611,7545.109019,{"ecc": 5.904051557917446e-05, "energy": -28467696.287110627}
332269.8034,pericenter,7000000.004,7545.999996,{"ecc": 5.904053882586043e-05, "energy": -28467696.287122365}
335185.2162,apocenter,7000826.615,7545.109014,{"ecc": 5.904051694569809e-05, "energy": -28467696.287131436}
338100.826,pericenter,7000000.007,7545.999992,{"ecc": 5.904054316176352e-05, "energy": -28467696.287143108}
341014.9846,apocenter,7000826.614,7545.109015,{"ecc": 5.9040515609768664e-05, "energy": -28467696.287155416}
343932.2488,pericenter,7000000.013,7545.999986,{"ecc": 5.90405386862986e-05, "energy": -28467696.287164744}
346844.4975,apocenter,7000826.614,7545.109016,{"ecc": 5.904051153745993e-05, "energy": -28467696.28717607}
349761.7982,pericenter,7000000.014,7545.999985,{"ecc": 5.9040540252034987e-05, "energy": -28467696.28718767}
352672.4397,apocenter,7000826.616,7545.109013,{"ecc": 5.9040516192942845e-05, "energy": -28467696.28719833}
355589.2299,pericenter,7000000.009,7545.999991,{"ecc": 5.9040544063470014e-05, "energy": -28467696.287210453}
358505.5838,apocenter,7000826.607,7545.109023,{"ecc": 5.904052264673909e-05, "energy": -28467696.287220463}
361420.1918,pericenter,7000000.014,7545.999985,{"ecc": 5.9040545935903266e-05, "energy": -28467696.287231017}
364334.258,apocenter,7000826.608,7545.109021,{"ecc": 5.90405205878854e-05, "energy": -28467696.28724189}
367247.7906,pericenter,7000000.009,7545.99999,{"ecc": 5.904054866030287e-05, "energy": -28467696.28725402}
370160.4102,apocenter,7000826.616,7545.109013,{"ecc": 5.904050287624781e-05, "energy": -28467696.28727337}
373075.3793,pericenter,7000000.005,7545.999994,{"ecc": 5.904052215482934e-05, "energy": -28467696.28728111}
375992.638,apocenter,7000826.609,7545.109021,{"ecc": 5.904050185041481e-05, "energy": -28467696.287290107}
378908.0061,pericenter,7000000.014,7545.999985,{"ecc": 5.904052371847738e-05, "energy": -28467696.287299786}
381821.9997,apocenter,7000826.608,7545.109021,{"ecc": 5.904050231527006e-05, "energy": -28467696.287308287}
384733.2037,pericenter,7000000.004,7545.999995,{"ecc": 5.904052546164204e-05, "energy": -28467696.287317827}
387648.593,apocenter,7000826.615,7545.109014,{"ecc": 5.9040497576211784e-05, "energy": -28467696.287330475}
390562.1448,pericenter,7000000.004,7545.999996,{"ecc": 5.90405201265309e-05, "energy": -28467696.28733999}
393477.2092,apocenter,7000826.616,7545.109013,{"ecc": 5.9040499237793884e-05, "energy": -28467696.287348196}
396394.5754,pericenter,7000000.01,7545.999989,{"ecc": 5.904051962314475e-05, "energy": -28467696.28735646}
399310.0737,apocenter,7000826.607,7545.109022,{"ecc": 5.904048972955461e-05, "energy": -28467696.287368983}
402223.2165,pericenter,7000000.009,7545.99999,{"ecc": 5.9040508622773995e-05, "energy": -28467696.28737632}
405138.737,apocenter,7000826.609,7545.109021,{"ecc": 5.9040488082314945e-05, "energy": -28467696.287384357}
408053.5604,pericenter,7000000.012,7545.999987,{"ecc": 5.9040508893659624e-05, "energy": -28467696.287392862}
410964.6035,apocenter,7000826.616,7545.109013,{"ecc": 5.904048647392801e-05, "energy": -28467696.287402242}
413882.2717,pericenter,7000000.01,7545.999989,{"ecc": 5.904050880673244e-05, "energy": -28467696.287411794}
416793.441,apocenter,7000826.617,7545.109012,{"ecc": 5.904048619548518e-05, "energy": -28467696.28742112}
419708.8446,pericenter,7000000.005,7545.999995,{"ecc": 5.904050696642319e-05, "energy": -28467696.287429415}
422625.5752,apocenter,7000826.611,7545.109018,{"ecc": 5.9040488946398835e-05, "energy": -28467696.287436675}
425541.3044,pericenter,7000000.012,7545.999987,{"ecc": 5.904051001465841e-05, "energy": -28467696.287445508}
428453.0447,apocenter,7000826.615,7545.109014,{"ecc": 5.904049111599375e-05, "energy": -28467696.287452858}
431368.7795,pericenter,7000000.007,7545.999992,{"ecc": 5.904052276377545e-05, "energy": -28467696.287465494}
434282.6664,apocenter,7000826.614,7545.109015,{"ecc": 5.9040497290432714e-05, "energy": -28467696.28747762}
437199.6792,pericenter,7000000.011,7545.999988,{"ecc": 5.904052603124652e-05, "energy": -28467696.287490387}
440111.4401,apocenter,7000826.615,7545.109014,{"ecc": 5.90405034349824e-05, "energy": -28467696.287500385}
