t,type,r,v,details
166373.4328,pericenter,1937001.18,1632.999056,{"ecc": 0.054147557808239766, "energy": -1196366.8064838038}
170531.494,apocenter,2158775.674,1465.238417,{"ecc": 0.05414755779382141, "energy": -1196366.806485902}
174694.9202,pericenter,1937002.786,1632.997771,{"ecc": 0.05414755780782776, "energy": -1196366.8064842985}
178851.9969,apocenter,2158774.987,1465.23891,{"ecc": 0.05414755778838265, "energy": -1196366.8064871347}
183008.5196,pericenter,1937000.594,1632.999525,{"ecc": 0.05414755781309599, "energy": -1196366.8064843407}
187172.4602,apocenter,2158774.063,1465.239573,{"ecc": 0.05414755779917313, "energy": -1196366.8064863617}
191331.7184,pericenter,1937002.806,1632.997755,{"ecc": 0.05414755782149938, "energy": -1196366.8064838536}
195488.356,apocenter,2158775.139,1465.238801,{"ecc": 0.054147557794814394, "energy": -1196366.8064878238}
199647.5415,pericenter,1937001.426,1632.998859,{"ecc": 0.054147557813315705, "energy": -1196366.8064857586}
203805.5243,apocenter,2158775.536,1465.238516,{"ecc": 0.054147557792918466, "energy": -1196366.8064887316}
207964.8322,pericenter,1937000.978,1632.999217,{"ecc": 0.0541475578090932, "energy": -1196366.8064868841}
212127.6716,apocenter,2158774.032,1465.239595,{"ecc": 0.05414755778875214, "energy": -1196366.8064898676}
216281.9092,pericenter,1937000.554,1632.999557,{"ecc": 0.05414755781007897, "energy": -1196366.8064874648}
220442.7152,apocenter,2158775.407,1465.238609,{"ecc": 0.05414755779094149, "energy": -1196366.806490277}
224601.561,pericenter,1937000.964,1632.999229,{"ecc": 0.05414755781254855, "energy": -1196366.8064878378}
228764.9251,apocenter,2158773.779,1465.239777,{"ecc": 0.05414755779692105, "energy": -1196366.8064901184}
232921.0972,pericenter,1937001.436,1632.998851,{"ecc": 0.054147557811670695, "energy": -1196366.8064884453}
237078.189,apocenter,2158775.768,1465.238349,{"ecc": 0.05414755779450331, "energy": -1196366.8064909473}
241241.5002,pericenter,1937002.49,1632.998008,{"ecc": 0.054147557809696385, "energy": -1196366.8064892096}
245397.9462,apocenter,2158775.381,1465.238627,{"ecc": 0.054147557793734924, "energy": -1196366.8064915382}
249555.862,pericenter,1937000.677,1632.999458,{"ecc": 0.05414755781301917, "energy": -1196366.8064893356}
